Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
0.5141470432281494,0.5847272872924805,1.8625774383544922,1.4285005331039429
0.5782219171524048,0.5856363773345947,1.410315752029419,1.3677406311035156
0.5844892859458923,0.5977120995521545,1.367382287979126,1.3011081218719482
0.5982914566993713,0.6222121119499207,1.2972334623336792,1.2026338577270508
0.6182032227516174,0.6603030562400818,1.1897926330566406,1.035451054573059
0.6485936045646667,0.7147121429443359,1.0462830066680908,0.8567084670066833
0.6870748400688171,0.762515127658844,0.8946806192398071,0.6948618292808533
0.7201710939407349,0.8082273006439209,0.7746827006340027,0.5861427783966064
0.7485615015029907,0.8398787975311279,0.6903475522994995,0.5128045082092285
0.7710080146789551,0.8637121319770813,0.6290630102157593,0.4584976136684418
0.7899251580238342,0.8812423944473267,0.5801029205322266,0.4139130413532257
0.808508038520813,0.8994242548942566,0.5380133986473083,0.37666335701942444
0.8231229782104492,0.9081818461418152,0.5029910206794739,0.3501450717449188
0.8364171385765076,0.9183030128479004,0.47405746579170227,0.3253793716430664
0.8474705815315247,0.9249545335769653,0.4482448697090149,0.3031841516494751
0.8570481538772583,0.9312878847122192,0.425217866897583,0.2821069061756134
0.8672593832015991,0.9364091157913208,0.4037958085536957,0.27061766386032104
0.8738395571708679,0.9380000233650208,0.38955360651016235,0.2590043246746063
0.8803128600120544,0.942242443561554,0.37428736686706543,0.248684361577034
0.8854812979698181,0.945863664150238,0.36171403527259827,0.2414969950914383
0.8911924958229065,0.9477576017379761,0.34904006123542786,0.230909064412117
0.8953021168708801,0.9490908980369568,0.3402731418609619,0.22638195753097534
0.8981390595436096,0.9522727131843567,0.33184027671813965,0.22204305231571198
0.9015882611274719,0.952681839466095,0.325006902217865,0.21698297560214996
0.9048342108726501,0.9538030028343201,0.3172037899494171,0.21195147931575775
0.9074198007583618,0.9548181891441345,0.310685932636261,0.20838125050067902
0.9105080366134644,0.9566212296485901,0.3033475875854492,0.20329037308692932
0.9126497507095337,0.956484854221344,0.29865074157714844,0.20074379444122314
0.9145401120185852,0.9575303196907043,0.293452650308609,0.19710160791873932
0.9169251322746277,0.9581212401390076,0.28813299536705017,0.19343315064907074
0.9185000061988831,0.9586969614028931,0.2831919491291046,0.19107452034950256
0.9213181734085083,0.9588636159896851,0.27736014127731323,0.18813036382198334
0.9224786162376404,0.9588636159896851,0.27408289909362793,0.1858859360218048
0.924120306968689,0.9593939185142517,0.26953351497650146,0.18363413214683533
0.9248262047767639,0.9602121114730835,0.2657432556152344,0.18129166960716248
0.9269384741783142,0.9605454802513123,0.2619117200374603,0.17860113084316254
0.9280855655670166,0.9605000019073486,0.25879162549972534,0.17748448252677917
0.9293930530548096,0.9605606198310852,0.2556765079498291,0.17506246268749237
0.9307085275650024,0.9608333110809326,0.2518058121204376,0.17393934726715088
0.9310133457183838,0.9611060619354248,0.25061365962028503,0.17249248921871185
